Lp.;Nazwa w≥asna;Telefon;Email;Charakter us≥ug;Kategoria obiektu;Rodzaj obiektu;Adres
24;MARINE;94/ 35 34 300;;sta≥y;*****;hotel;78-100 Ko≥obrzeg, Su≥kowskiego 9
25;Sofitel Wroc≥aw;(71) 35 88 300;;sta≥y;*****;hotel;50-127 Wroc≥aw, åw. Miko≥aja 67
26;GR”DEK;(0 12)431-90-30;grodek@donimirski.com;sta≥y;*****;hotel;31-028 KrakÛw, ul. Na GrÛdku 4
27;Sheraton Poznan Hotel;;poznaÒ@sheraton.com;sta≥y;*****;hotel;60-813 PoznaÒ, Bukowska 3/9
28;RADISSON BLU CENTRUM HOTEL;(+48-22) 321-88;;sta≥y;*****;hotel;00-132 Warszawa, Grzybowska 24
29;HERON;(18) 888-85-00;contact@heron-hotel.com;sta≥y;*****;hotel;33-318 GrÛdek nad Dunajcem, sienna 104
30;ALTER;81 516 90 90;recepcja@hotelalter.pl;sta≥y;*****;hotel;20-112 Lublin, grodzka 30
31;"""HILTON""";0-58 77-87-10;GDNHG_RES@hilton.pl;sta≥y;*****;hotel;80-838 GdaÒsk, Targ Rybny 1
32;"""DW”R OLIWSKI""";0 - 58 554 -;info@dwor-oliwski.com.pl;sta≥y;*****;hotel;80-328 GdaÒsk, Bytowska 4
33;PA£AC PAKOSZ”W;75 649 70 75;info@palac-pakoszow.pl;sta≥y;*****;hotel;58-573 Piechowice, Zamkowa 3
34;GRANDHOTEL TIFFI;89-651-97-97;sekretariat-ght@tiffi.com;sta≥y;*****;hotel;14-200 I≥awa, Dπbrowskiego 9
35;REGENT WARSAW HOTEL;225581001;reservation@regent-warsaw.com;sta≥y;*****;hotel;00-761 Warszawa, Belwedreska 23
36;PIRAMIDA;032/ 325-78-78;piramida@piramida-ceglinski.pl;sta≥y;*****;hotel;43-100 Tychy, Sikorskiego 100
37;MONOPOL;717 723 777;monopol.wroclaw@hotel.com.pl;sta≥y;*****;hotel;50-071 Wroc≥aw, H.MODRZEJEWSKIEJ 2
38;PA£AC SULIS£AW HOTEL & SPA;509842741;biuro@sulislaw.pl;sta≥y;*****;hotel;49-200 Sulis≥aw, 24
39;MONOPOL;32 782-82-82;monopol@hotel.com.pl;sta≥y;*****;hotel;40-012 Katowice, Dworcowa 5/7
40;BRISTOL TRADITION & LUXURY;17 250 00 80;info@bristol-rzeszow.pl;sta≥y;*****;hotel;35-064 RzeszÛw, Rynek 20-23
41;COPERNICUS;(12) 424-34-00;copernicus@hotel.com.pl;sta≥y;*****;hotel;31-002 KrakÛw, ul. Kanonicza 16
42;HOTEL MARINA GOLF CLUB;89-523-87-97;sekretariat@marinaclub.pl;sta≥y;*****;hotel;11-036 Si≥a, 100
43;H 15 BOUTIQUE HOTEL;22 55 38 788;office@h15ab.com;sta≥y;*****;hotel;00-680 Warszawa, PoznaÒska 15
44;"""REZYDENT""";0 - 58 55 - 5;rezerwacja@HotelRezydent.com.pl;sta≥y;*****;hotel;81-704 Sopot, Plac Konstytucji III Maja 3
45;GRAND;(12) 421-72-55;hotel@grand.pl;sta≥y;*****;hotel;31-014 KrakÛw, ul. S≥awkowska 5/7
46;MANOR HOUSE PA£AC ODROW•Ø”W;48 628 70 61;chlewiska@manorhouse.pl;sta≥y;*****;hotel;26-510 Chlewiska, Czachowskiego 56
47;HOTEL DOUBLE TREE BY HILTON;713025710;;sta≥y;*****;hotel;50-414 Wroc≥aw, Podwale nr 84
48;CITY PARK HOTEL & RESIDENCE;612 218 400;residence@citypark.com.pl;sta≥y;*****;hotel;61-751 PoznaÒ, WyspiaÒskiego 26a
49;RIALTO;+48-22 58-48-7;info@hotelrialto.com.pl;sta≥y;*****;hotel;00-670 Warszawa, Wilcza 73
50;"""SHERATON Sopot Hotel Conference Center & Spa""";0-58 767 - 10;andrea.wrba@sheraton.com;sta≥y;*****;hotel;81-718 Sopot, PowstaÒcÛw Warszawy 10
51;BLOW UP HALL5050;61-657 99 80;blowup@blowUPhall5050.com;sta≥y;*****;hotel;61-891 PoznaÒ, Koúciuszki 42
52;"""GRAND LUBICZ-UZDROWISKO USTKA""";59/815-44-70;recepcja@grandlubicz.pl;sta≥y;*****;hotel;76-270 Ustka, wczasowa 4
53;"""RADISSON BLU HOTEL""";0-58 325-44-44;info.gdansk@radissonblu.com;sta≥y;*****;hotel;80-828 GdaÒsk, D≥ugi Targ 19/Powroünicza
54;"""PA£AC CIEKOCINKO""";58/572-25-08;hotel@palacciekocinko.pl;sta≥y;*****;hotel;84-210 Ciekocinko, ciekocinko 9
55;LITWOR;18 202-42-00;recepcja@litwor.pl;sta≥y;*****;hotel;34-500 Zakopane, ul. KrupÛwki 40
56;AQUARIUS SPA;94- 35 36 500;recepcja@aquariusspa.pl;sta≥y;*****;hotel;78-100 Ko≥obrzeg, Kasprowicza 24
57;HOTEL BELLOTTO;22 829 64 44;hotel@hotelbellotto.pl;sta≥y;*****;hotel;00-075 Warszawa, senatorska 13/15
58;ODYSSEY CLUBHOTEL WELLNESS & SPA;41 317 44 00;recepcja@hotelodyssey.pl;sta≥y;*****;hotel;26-001 Dπbrowa, Dπbrowa 3
59;SOFITEL VICTORIA;(+48 22) 657-80;sofitel@victoria.orbis.pl;sta≥y;*****;hotel;00-065 Warszawa, KrÛlewska 11
60;MANOR HOUSE PA£AC ODROW•Ø”W;44 682 12 21;marcin@manorhouse.pl;sta≥y;*****;hotel;26-510 Chlewiska, czachowskiego 56
61;HOLIDAY INN KRAK”W CITY CENTER;(0 12) 619-00-02;hirm@hik.krakow.pl;sta≥y;*****;hotel;31-072 KrakÛw, ul. Wielopole 4-8
62;PLATINUM PALACE;713249900;;sta≥y;*****;hotel;Wroc≥aw, POWSTA—C”W åL•SKICH 204
63;THE WESTIN WARSAW;224 508 000;warsaw@westin.com;sta≥y;*****;hotel;00-854 Warszawa, Al. Jana Paw≥a ii 21
64;NIEBIESKI ART HOTEL & SPA;(0 12)297-40-00;biuro@niebieski.com.pl;sta≥y;*****;hotel;30-114 KrakÛw, ul. Flisacka 3
65;BOHEMA;525 600 602;rezerwacja@hotelbohema.pl;sta≥y;*****;hotel;85-066 Bydgoszcz, Stanis≥awa Konarskiego 9
66;DW”R KOåCIUSZKO;12 614-14-41;dworkosciuszko@donimirski.com;sta≥y;*****;hotel;31-221 KrakÛw, ul. Papiernicza 3
67;HAVET Resort & SPA;94/ 713 60 70;gm@havethotel.pl;sta≥y;*****;hotel;78-131 Düwirzyno, ul. Wyzwolenia 29
68;STARY;12 384-08-08;stary@hotel.com.pl;sta≥y;*****;hotel;31-011 KrakÛw, ul. SzczepaÒska 5
69;SHERATON KRAKOW HOTEL;(0 12) 662-10-0;krakow@sheraton.com;sta≥y;*****;hotel;31-101 KrakÛw, ul. Powiúle 7
70;SHERATON WARSAW HOTEL & TOWERS;022-657-61-00;warsaw@sheraton.com;sta≥y;*****;hotel;00-493 Warszawa, B.Prusa 2
71;SHERATON WARSAW HOTEL & TOWERS;022-657-61-00;warsaw@sheraton.com;sta≥y;*****;hotel;00-493 Warszawa, B.Prusa 2 22
72;SHERATON WARSAW HOTEL & TOWERS;022-657-61-00;warsaw@sheraton.com;sta≥y;*****;hotel;00-493 Warszawa, B.Prusa 2
73;SHERATON WARSAW HOTEL & TOWERS;022-657-61-00;warsaw@sheraton.com;sta≥y;*****;hotel;00-493 Warszawa, B.Prusa 2 22
74;SHERATON WARSAW HOTEL & TOWERS;022-657-61-00;warsaw@sheraton.com;sta≥y;*****;hotel;00-493 Warszawa, B.Prusa 2
75;HOTEL BRISTOL, WARSAW;(+48-22) 551-10;;sta≥y;*****;hotel;00-325 Warszawa, Krakowskie Przedmieúcie 42/44
76;INTERCONTINENTAL WARSZAWA;-102;icwarsaw@inwarsaw.it.pl;sta≥y;*****;hotel;00-125 Warszawa, Emilii Plater 49
77;MARRIOTT;(+48-22) 630-63;;sta≥y;*****;hotel;00-697 Warszawa, Al.Jerozolimskie 65/79
78;MAMAISON HOTEL LE REGINA;225316000;info@leregina.com;sta≥y;*****;hotel;00-029 Warszawa, Koúcielna 12
79;HOTEL MIKO£AJKI;87-420-60-00;biuro@hotelmikolajki.pl;sta≥y;*****;hotel;11-730 Miko≥ajki, Al. Spacerowa 11
80;CROWN PIAST HOTEL;(0 12) 636-46-6;gm@hotelpiast.pl;sta≥y;*****;hotel;31-342 KrakÛw, ul. Radzikowskiego 109
81;Radisson Blu;071/ 375 00 00;;sta≥y;*****;hotel;50-156 Wroc≥aw, ul. Purkyniego 10
82;THE GRANARY LA SUITE HOTEL WROC£AW CITY CENTER;713952603;granary@granaryhotel.com;sta≥y;*****;hotel;50-057 Wroc≥aw, MENNICZA 24
83;BINKOWSKI;413 011 211;hotel@bhotel.pl;sta≥y;****;hotel;25-043 Kielce, Szzepaniaka 42
84;GALERY69;89-513-64-80;recepcja@hotelgalery69.pl;sta≥y;****;hotel;11-034 Dorotowo, 38
85;BESKID;(0 18)440-40-00;hotel@hotelbeskid.pl;sta≥y;****;hotel;33-300 Nowy Sπcz, ul. Limanowskiego 1
86;DW”R SANNA;15 871 61 53;recepcja@dworsanna.pl;sta≥y;****;hotel;23-310 Modliborzyce, Wierzchowiska Drugie 163
87;UROCZYSKO SIEDMIU STAW”W LUXURY HOTEL;717509107;uroczysko7stawow@uroczysko7stawow.com;sta≥y;****;hotel;58-217 Gola Dzierøoniowska, GOLA DZIERØONIOWSKA 21
88;QUBUS HOTEL GORZ”W WLKP.;95 735-07-35;gorzow@qubushotel.com;sta≥y;****;hotel;66-410 GorzÛw Wielkopolski, Orlπt Lwowskich 3
89;NH POZNA—;61 624 88 00;nhpoznan@nh-hotel.com;sta≥y;****;hotel;61-806 PoznaÒ, sw marcin 67
90;ZIMNIK LUKSUS NATURY;+48 33 860 15 9;recepcja@zimnik.com.pl;sta≥y;****;hotel;34-324 Lipowa, Lipowa 990
91;MODERNO;61 664 66 66;;sta≥y;****;hotel;60-718 PoznaÒ, kolejowa 29
92;VERSANT DOM SPA;748117140;recepcja@hotelversant.pl;sta≥y;****;hotel;58-200 DzierøoniÛw, MICKIEWICZA 16
93;"""FALTOM""";0 - 58 671 -;faltom@hotel-faltom.com.pl;sta≥y;****;hotel;84-230 Rumia, Grunwaldzka 7
94;NOVOTEL WARSZAWA AIRPORT;22 57 56 106;ho527-cc@accor.com;sta≥y;****;hotel;02-134 Warszawa, 1 sierpnia 1
95;M£YN JACKA HOTEL & SPA;(33)873-40-80;biuro@hotelmj.pl;sta≥y;****;hotel;34-100 Wadowice, Jaroszowice 234
96;PREZYDENT;(0 18)473-65-00;marketing@hotelprezydent.com;sta≥y;****;hotel;33-380 Krynica-ZdrÛj, ul. Nowotarskiego 3
97;Chopin;(+48-46) 862-59;hotel@hotelchopin.pl;sta≥y;****;hotel;96-500 Sochaczew, Traugutta 21
98;"HOTEL ""ROBERT'S PORT""";87-421-65-20;recepcja@hotel-port.pl;sta≥y;****;hotel;11-730 Stare Sady, 4
99;HOLIDAY INN £”Dè;422 082 000;info@hilodz.com;sta≥y;****;hotel;90-456 £Ûdü, Piotrkowska 229/231
100;DIAMENT PLAZA;32 231-22-44;gliwice@hoteldiament.pl;sta≥y;****;hotel;44-100 Gliwice, ZwyciÍstwa 30
101;Qubus Hotel Wroc≥aw;(071) 341-08-98;hotel@hotel-mm.com.pl;sta≥y;****;hotel;50-103 Wroc≥aw, åw. Marii Magdaleny 2
102;GRACJA;095 720-43-11;info@hotelgracja.pl;sta≥y;****;hotel;66-400 GorzÛw Wielkopolski, Dπbrowskiego 20 B
103;KINGA HOTEL WELLNESS;(0 18)265-03-67;recepcja@kingahotel.com;sta≥y;****;hotel;34-436 Czorsztyn, ul. Zamkowa 6
104;REZYDENCJA;+48 32 450 25 8;recepcja@rezydencja.slask.pl;sta≥y;****;hotel;41-940 Piekary ålπskie, stara 1
105;"""NOVOTEL WARSZAWA CENTRUM""";48226210271;;sta≥y;****;hotel;00-510 Warszawa, marsza≥kowska 94/98
106;MOLO RESORT;(33) 432-25-00;hotel@czasnamolo.pl;sta≥y;****;hotel;32-608 Osiek, g≥Ûwna 231 a
107;MALINOWY DW”R HOTEL MEDICAL SPA;757381000;recepcja@malinowydwOr.pl;sta≥y;****;hotel;59-850 åwieradÛw-ZdrÛj, D£UGA 10
108;SWING;(0 12)311-11-11;hotelswing@hotelswing.pl;sta≥y;****;hotel;31-416 KrakÛw, ul. Dobrego Pasterza 124
109;CZARNY GRO— HOTEL & SPA;(33) 506-51-00;recepcja@czarnygron.pl;sta≥y;****;hotel;34-125 Su≥kowice, os. praciaki 91 A
110;NAFTA KROSNO;13 436 62 12;rezerwacje@hotel.nafta.pl;sta≥y;****;hotel;38-400 Krosno, Lwowska 21
111;"""LUBICZ""";0 - 59 814 -;biuro@hotel-lubicz.pl;sta≥y;****;hotel;76-270 Ustka, Grunwaldzka 14
112;DOUBLETREE BY HILTON KRAK”W HOTEL&CONVENTION CENTER;12 201-40-00;KRKCC_HOTEL@hilton.com;sta≥y;****;hotel;31-572 KrakÛw, ul. Dπbska 5
113;RADOCZA PARK BUSINESS HOTEL;33 873-49-10;recepcja@radoczapark.pl;sta≥y;****;hotel;34-100 Radocza, ul. Parkowa 1, Radocza
114;"""M≥yn""";233-01-00;hotelmlyn@hotelmlyn.pl;sta≥y;****;hotel;87-800 W≥oc≥awek, Witosa 5
115;MEDI-SPA BIA£Y KAMIE— SKI&WELLNESS RESORT;757817551;INFO@BIALYKAMIEN.COM;sta≥y;****;hotel;59-850 åwieradÛw-ZdrÛj, LEåNA 8A
116;DUO;(015) 87 22 880;recepcja@duojanow.pl;sta≥y;****;hotel;23-300 JanÛw Lubelski, Turystyczna 10 A
117;FABRYKA WE£NY;42 206-88-88;recepcja@fabrykawelny.pl;sta≥y;****;hotel;95-200 Pabianice, Zamkowa 2
118;CENTRUM;12 359-43-83;info@hotel-centrum.pl;sta≥y;****;hotel;31-934 KrakÛw, os. Centrum E12
119;MARYSIE—KA;508223956;;sta≥y;****;hotel;58-306 Wa≥brzych, wroc≥awska 134b
120;PRZYSTA— HOTEL & SPA;89-651-90-00;hotel@hotelprzystan.com;sta≥y;****;hotel;10-160 Olsztyn, Øeglarska 4
121;"""VICTOR""";+48 (0-22) 439-;recepcja@hotelvictor.pl;sta≥y;****;hotel;05-800 PruszkÛw, Andrzeja 1 A
122;KRYNICA;(0 18)473-71-00;recepcja@hotelkrynica.eu;sta≥y;****;hotel;33-380 Krynica-ZdrÛj, Park Sportowy 3
123;NOVOTEL £”Dè CENTRUM;422543900;;sta≥y;****;hotel;90-368 £Ûdü, Al. Pi≥sudkiego 11a
124;MERCURE WROC£AW CENTRUM;713232700;;sta≥y;****;hotel;50-159 Wroc≥aw, PL.DOMINIKA—SKI 1
125;ANDEL'S HOTEL CRACOW;12 660-01-00;reservation@andelscracow.com;sta≥y;****;hotel;31-154 KrakÛw, ul. Pawia 3
126;ART HOTEL;(071) 342 42 49;info@arthotel.wroc.pl;sta≥y;****;hotel;50-110 Wroc≥aw, Kie≥baúnicza 20
127;HOTEL BANIA THERMAL & SKI;18 265-41-63;sekretariat@bania.pl;sta≥y;****;hotel;34-405 Bia≥ka TatrzaÒska, ul. årodkowa 181
128;VERDE MONTANA;748 697 760;recepcja@verdemontana.pl;sta≥y;****;hotel;57-350 Kudowa-ZdrÛj, 1 MAJA 25A
129;HILTON GARDEN INN KRAK”W;(12) 399-90-00;;sta≥y;****;hotel;30-302 KrakÛw, ul. M. Konopnickiej 33
130;REGENT WARSAW HOTEL;22 558 12 34;;sta≥y;****;hotel;00-761 Warszawa, Belwederska 23
131;EUROPEJSKI BOUTIQUE HOTEL;48 340 00 21;hoteleuropejski@op.pl;sta≥y;****;hotel;26-600 Radom, S≥owackiego 11
132;HOTEL M£YN - BIBLIOTEKA;55-235-04-70;info@hotelmlyn.com.pl;sta≥y;****;hotel;82-300 Elblπg, Koúciuszki 132
133;AIRPORT HOTEL OK CIE /CZ å∆ NOWA/;22 456 80 00;;sta≥y;****;hotel;00-146 Warszawa, 17-Stycznia 24
134;APIS;(12) 617-65-00;info@hotelapis.pl;sta≥y;****;hotel;31-406 KrakÛw, Al. 29 Listopada 137
135;O£AWIAN;71 301 43 71;recepcja@olawianhotel.pl;sta≥y;****;hotel;55-200 O≥awa, SIKORSKIEGO 6
136;"""MERIDIAN""";58/674-19-01;biuro@meridian.wla.pl;sta≥y;****;hotel;84-131 Cha≥upy, kaperska 2
137;JM APART HOTEL;22 278-88-88;rezerwacja@jmaparthotel.pl;sta≥y;****;hotel;00-844 Warszawa, Grzybowska 45
138;"""MERA SPA HOTEL""";58/766-66-00;info@meraspahotel.pl;sta≥y;****;hotel;81-731 Sopot, Bitwy pod P≥owcami 59
139;DOUBLETREE BY HILTON £”Dè;422088000;;sta≥y;****;hotel;90-554 £Ûdü, £•KOWA 29
140;"""GRAND CRU""";58 77-27-300;RECEPCJA@HOTELGRANDCRU.PL;sta≥y;****;hotel;80-882 GdaÒsk, Rycerska 11-12
141;ASTONE;767469800;hotel@hotelastone.pl;sta≥y;****;hotel;59-300 Lubin, Kwiatowa 11
142;CRISTAL;85 742-50-61;;sta≥y;****;hotel;15-424 Bia≥ystok, Lipowa 3/5
143;DAKOTA;523 241 410;marketing@dakotahotel.eu;sta≥y;****;hotel;86-031 Niwy, Szosa GdaÒska 46
144;GRAND HOTEL;41 365 50 00;hotel@lysogory.com.pl;sta≥y;****;hotel;25-501 Kielce, sienkiewicza 78
145;"""TRISTAN""";55/26-72-600;hotel@tristan.com.pl;sta≥y;****;hotel;82-110 Kπty Rybackie, RYbacka 17
146;PA£AC CZARNY LAS;34 357-30-78;recepcja@ czarnylas.com.pl;sta≥y;****;hotel;42-289 Woüniki, Czarny Las 8
147;EVITA HOTEL & SPA;523339804;;sta≥y;****;hotel;86-150 TleÒ, Czerska 11
148;GROMADA ARKA LUX;(94) 342 79 11;koszalinhotel@gromada.pl;sta≥y;****;hotel;75-035 Koszalin, ZwyciÍstwa 20-24
149;"""AUBRECHT COUNTRY SPA RESORT""";59 724 14 69;rezerwacja@hotelaubrecht.pl;sta≥y;****;hotel;77-320 Koprzywnica, Koprzywnica 4
150;COPERNICUS TORU— HOTEL;566 115 700;recepcja@copernicustorun.com;sta≥y;****;hotel;87-100 ToruÒ, Bulwar Filadelfijski 11
151;TERMY MEDICAL WARMIA PARK;89-519-53-00;termymedical@warmiapark.pl;sta≥y;****;hotel;11-034 Pluski, Pluszna 36
152;AMARYLIS;;;sta≥y;****;hotel;62-020 Jasin, PoznaÒska 39
153;"""MISTRAL SPORT""";58/736-46-00;hotel@gniewino.pl;sta≥y;****;hotel;84-250 Gniewino, Sportowa 1
154;OLIVIA MEDICAL SPA;(12)271-06-58;biuro@oliwiaspa.pl;sta≥y;****;hotel;32-437 Skomielna Czarna, skomielna czarna 488
155;META RESORT VINE SPA;33-8178-874;metahotel@meta-hotel.pl;sta≥y;****;hotel;43-370 Szczyrk, Skoúna 4
156;ATENA;17 773 91 00;recepcja@hotel-atena.pl;sta≥y;****;hotel;39-300 Mielec, przemys≥owa 67
157;HOTEL AMAZONKA;542 300 100;recepcja@hotelamazonka.pl;sta≥y;****;hotel;87-720 Ciechocinek, Traugutta 5
158;Z-HOTEL BUSINESS & SPA;227781130;recepcja@z-hotel.com;sta≥y;****;hotel;05-402 Otwock, wczasowa 25
159;RUBEN HOTEL;684567070;hotel@rubenhotel.pl;sta≥y;****;hotel;65-805 Zielona GÛra, Al. Konst. 3 MAja 1A
160;AR£AM”W;13 461 65 00;sekretariat@arlamow.pl;sta≥y;****;hotel;38-760 Ar≥amÛw, -
161;HOTEL PIANO;77 550 33 01;biuro@pianohotel.com.pl;sta≥y;****;hotel;45-083 Opole, Barlickiego
162;RUBINSTEIN;(12) 384-00-00;recepcja@rubinstein.pl;sta≥y;****;hotel;31-053 KrakÛw, szeroka 12
163;HOTEL PLATINUM;89-642-36-00;recepcja@hotelplatinum.pl;sta≥y;****;hotel;14-100 OstrÛda, WyszyÒskiego 11A
164;SOMMER RESIDENCE HOTEL & SPA;77 887 58 88;;sta≥y;****;hotel;46-200 KuniÛw, 101a
165;BEST WESTERN PLUS BRZEG CENTRUM;7744388000;gm@bestwesternbrzeg.com;sta≥y;****;hotel;49-300 Brzeg, Wroc≥awska 5
166;HOTEL HOLIDAY INN BYDGOSZCZ;523 477 000;reservations@holiday.hgb.com.pl;sta≥y;****;hotel;85-109 Bydgoszcz, Grodzka 6
167;HILTON GARDEN INN KRAK”W AIRPORT;(12)340-00-00;hotel@krkairport.pl;sta≥y;****;hotel;32-083 Balice, medweckiego 3
168;AVIATOR;48/3628888;;sta≥y;****;hotel;26-600 Radom, J. Malczewskiego 18
169;KAWALLO;+ 48 (0-24) 266;kawallo@kawallo.pl;sta≥y;****;hotel;09-533 S≥ubice, LeonÛw 7 A
170;HOTEL OSTOYA PALACE;12 430-90-00;hotel@ostoyapalace.pl;sta≥y;****;hotel;31-109 KrakÛw, ul. Pi≥sudskiego 24
171;PAPUGA;33 818-58-60;hotel@ papuga.pl;sta≥y;****;hotel;43-382 Bielsko-Bia≥a, Zapora 3
172;ZAMEK NA SKALE;748 652 000;zamek@zameknaskale.com.pl;sta≥y;****;hotel;57-540 Lπdek-ZdrÛj, TRZEBIESZOWICE 151
173;"""RYCERSKI""";58/535-25-37;sekretariat@zamek-gniew.pl;sta≥y;****;hotel;83-140 Gniew, Zamkowa 3
174;BRISTOL;14 621-22-79;bristol.tn@poczta.fm;sta≥y;****;hotel;33-100 TarnÛw, ul. Krakowska 9
175;PA£AC åMI£OWICE;(0 12)385-92-04;palac.smilowice@interia.eu;sta≥y;****;hotel;32-120 Nowe Brzesko, åmi≥owice
176;APOLLO;94 314-24-53;recepcja@hotelapollo.pl;sta≥y;****;hotel;76-153 Dar≥owo, Kπpielowa 11
177;BRZOZA;(52)3810111;recepcja@hotelbrzoza.pl;sta≥y;****;hotel;86-061 Brzoza, Bydgoska 34
178;MCC MAZURKAS CONFERENCE CENTRE & HOTEL;(+48 22) 721-47;rezerwacja@mazurkashotel.pl;sta≥y;****;hotel;05-850 OøarÛw Mazowiecki, PoznaÒska 177
179;BLUE DIAMOND HOTEL;177 722 666;recepcja@bluediamondhotel.pl;sta≥y;****;hotel;36-001 Nowa Wieú, gmina Trzebownisko
180;NOVOTEL WROC£AW CENTRUM;(071) 361-46-51;wroclaw@orbis.pl;sta≥y;****;hotel;53-332 Wroc≥aw, PowstaÒcÛw ålπskich 7
181;OLIMPIC;033-85432-35;recepcja@hotelolympic.pl;sta≥y;****;hotel;43-450 UstroÒ, GraøyÒskiego 10
182;HOTEL STARY TARTAK;89-648-22-33;recepcja@starytartak.com.pl;sta≥y;****;hotel;14-200 I≥awa, Biskupska 5
183;HOTEL MASURIA;885-950-021;hotel@masuria.com.pl;sta≥y;****;hotel;14-105 Worliny, 33
184;"""QUBUS HOTEL GDA—SK""";58/75-22-100;gdansk@qubushotel.com;sta≥y;****;hotel;80-748 GdaÒsk, Chmielna 47/52
185;"""VILLA PARK""";544 164 100;hotel@villapark.pl;sta≥y;****;hotel;87-720 Ciechocinek, Warzelniana 10
186;BEST WESTERN PREMIER KRAK”W HOTEL;(0 12)420-00-05;bestwestern@krakowpremier.pl;sta≥y;****;hotel;31-323 KrakÛw, ul. Opolska 14 A
187;CITY;522 500 325;city@cps.pl;sta≥y;****;hotel;85-950 Bydgoszcz, 3 Maja 6
188;"""WARSZAWIANKA""";(+48 22) 768-90;hotel@warszawianka.pl;sta≥y;****;hotel;05-140 Serock, Jachranka 77
189;PA£AC POLANKA;13 49 24 455;rezerwacje@PALACPOLANKA.PL;sta≥y;****;hotel;38-400 Krosno, popie≥uszki 103
190;PARK DIAMENT HOTEL;32 72-00-000;katowicepark@hoteldiament.pl;sta≥y;****;hotel;40-042 Katowice, Wita Stwosza 37
191;QUBUS;041243-81-00;kielce@qubushotel.com;sta≥y;****;hotel;25-505 Kielce, Sk≥adowa 2
192;HOTEL&SOUND BOSSA NOVA;757615980;kontakt@bossanova.pl;sta≥y;****;hotel;58-580 Szklarska PorÍba, KILI—SKIEGO 14
193;"Hotel ""ZAJAZD NAPOLEO—SKI""";0-22 815-30-68;;sta≥y;****;hotel;04-501 Warszawa, P≥owiecka 83
194;GRAND NOSALOWY DW”R;(0 18)201-14-00;hotel@nosalowy-dwÛr.eu;sta≥y;****;hotel;34-500 Zakopane, ul. Balzera 21C
195;BEST WESTERN PRIMA;(71) 782 55 55;prima@bestwestern-prima.pl;sta≥y;****;hotel;50-110 Wroc≥aw, Kie≥baúnicza 16-19
196;HOTEL IM.JANA PAW£A II;713 271 400;hotel@hotel-jp2.pl;sta≥y;****;hotel;50-328 Wroc≥aw, åW.IDZIEGO 2
